meter_id,total_kwh,peak_kwh,peak_ratio,cluster_name,cooling_load,base_load,policy_level
MAC004101,2166.27,837.9740001,0.3868280501045576,Evening Peak,395.8220697674418,2165.612558139535,Level 2 - TOU Pricing
MAC004102,17340.271998,4385.2839999,0.25289591768836106,Night Owl,4371.119560170278,17425.252502628486,Level 1 - Communication
MAC004103,6921.2919992,2302.3659997,0.33264974226865734,Evening Peak,450.57577093962874,6910.299496097832,Level 1 - Communication
MAC004104,3424.7710004,1215.7050003,0.35497409904428945,Evening Peak,419.39794829171,3424.095979676684,Level 2 - TOU Pricing
MAC004105,2750.7119999,929.4259999,0.3378856092290972,Daytime Active,313.6907287285272,2748.8701549379844,Level 1 - Communication
MAC004106,8528.3159998,3202.8630001,0.3755563232149362,Evening Peak,1031.472816860248,8539.00083054379,Level 3 - Demand Response
MAC004107,13551.5869993,4644.6309997,0.3427370535967423,Evening Peak,1446.8956741093023,13573.6184488062,Level 1 - Communication
MAC004108,3337.3959999999997,1264.775,0.37897061061977666,Evening Peak,481.89397213622294,3338.5179589783284,Level 2 - TOU Pricing
MAC004109,3192.3419999,1429.1009998,0.4476653816679938,Evening Peak,342.9651303782608,3193.8237297128885,Level 2 - TOU Pricing
MAC004110,1695.674,635.986,0.37506383892186823,Evening Peak,213.39801860465124,1696.0575968992246,Level 2 - TOU Pricing
MAC004111,6146.8299996,2299.2849999,0.374060287993913,Evening Peak,588.5025774422359,6148.045527547205,Level 2 - TOU Pricing
MAC004112,10140.7860004,4520.1939984,0.4457439490609212,Evening Peak,3397.3904465609307,10188.058682573643,Level 3 - Demand Response
MAC004113,3834.7070001,1320.2399999,0.34428706022795774,Evening Peak,572.3311518972093,3839.9722481627905,Level 1 - Communication
MAC004114,6308.8449997,2226.582,0.3529302114897226,Evening Peak,459.8424478537983,6304.7289145271325,Level 2 - TOU Pricing
MAC004115,7683.7769997,3520.0340006,0.45811246223536084,Evening Peak,1263.1061408393468,7708.096049464386,Level 2 - TOU Pricing
MAC004116,4045.2920014,1508.7940007,0.3729753007144687,Evening Peak,575.5603359972049,4045.886156690373,Level 2 - TOU Pricing
MAC004117,5258.4200005,2275.8500008,0.4328011076680066,Evening Peak,934.7725094086959,5266.328640255434,Level 2 - TOU Pricing
MAC004118,3603.4900003,1601.8140005,0.4445173985127321,Evening Peak,616.9261520257764,3606.2743155197204,Level 2 - TOU Pricing
MAC004119,1669.7040001,561.8660001,0.3365063508659914,Evening Peak,194.09068498082192,1675.331815169178,Level 1 - Communication
MAC004120,8883.4950012,3568.3569999,0.40168390925170544,Evening Peak,954.0273915962789,8886.706280178296,Level 3 - Demand Response
MAC004121,11312.584002,2977.8960004,0.2632374707558879,Evening Peak,908.0108241809304,11299.506280984497,Level 1 - Communication
MAC004122,1620.4140001,349.244,0.21552763675113104,Daytime Active,195.19127292573643,1616.9289148294574,Level 1 - Communication
MAC004123,6871.548,3378.425,0.49165413673891245,Evening Peak,614.1517882472871,6884.707286821705,Level 2 - TOU Pricing
MAC004124,6257.0490002,2265.8330001,0.3621248611010678,Evening Peak,511.8694249912504,6263.631281451561,Level 2 - TOU Pricing
MAC004125,5156.8490004,1680.8220000000001,0.32593973565439366,Evening Peak,687.6154350086955,5157.833778353416,Level 1 - Communication
MAC004126,9314.8570001,3750.7720003,0.40266554819464573,Evening Peak,918.8537948429906,9337.890990754984,Level 3 - Demand Response
MAC004127,3292.5029999,1325.8429998,0.402685434102951,Evening Peak,443.4680001473882,3299.288499899067,Level 2 - TOU Pricing
MAC004128,9497.7919999,4081.6019998,0.4297421969067099,Evening Peak,1097.2081893409936,9525.734787267082,Level 3 - Demand Response
MAC004129,5903.5260027,1541.4420003,0.26110531224814043,Daytime Active,845.2586369116276,5903.171010372093,Level 1 - Communication
MAC004130,12105.6520005,3762.8720003,0.3108359632463069,Evening Peak,596.6092051810551,12106.90554097733,Level 1 - Communication
MAC004131,11159.1889989,4292.2250017,0.38463592668993235,Evening Peak,1505.9787577627324,11180.18795851879,Level 3 - Demand Response
MAC004132,6478.6350002,2853.4079991,0.4404335170930162,Evening Peak,1354.292674828372,6494.86550407752,Level 2 - TOU Pricing
MAC004133,5314.0489987,2241.546,0.4218150793393812,Evening Peak,792.4953793476806,5321.81051446271,Level 2 - TOU Pricing
MAC004134,3383.5840005,1266.147,0.37420291614243906,Evening Peak,699.2213221182251,3391.184615399366,Level 2 - TOU Pricing
MAC004135,6998.9859989,2143.6609991,0.30628165271896673,Evening Peak,592.7693486987578,7003.190702206833,Level 1 - Communication
MAC004136,4665.447,1262.583,0.27062422957542975,Evening Peak,803.1641073094864,4660.668951788492,Level 1 - Communication
MAC004137,2006.8399990999999,818.3769992,0.40779384483417436,Evening Peak,319.18137573211015,2004.4762651495412,Level 2 - TOU Pricing
MAC004138,3334.1590001,1251.926,0.3754847924056566,Evening Peak,397.0136936799378,3330.6030980790047,Level 2 - TOU Pricing
MAC004139,10804.8470041,5230.0550039,0.4840471134774427,Evening Peak,2192.692151433644,10807.933446499534,Level 3 - Demand Response
MAC004140,2107.276,668.514,0.31724083603666536,Evening Peak,358.6693457943926,2104.9449626168225,Level 1 - Communication
MAC004141,4435.4009998,1807.4360002,0.4075022755059803,Daytime Active,486.4467199583204,4429.583887823328,Level 2 - TOU Pricing
MAC004142,1183.1839998,388.5729999,0.3284129940615176,Evening Peak,237.97573974485985,1184.1964406084112,Level 1 - Communication
MAC004143,4307.0039992,1352.6319999,0.3140540385268375,Evening Peak,811.7075764852256,4312.283793906065,Level 1 - Communication
MAC004144,1974.5510004,699.0700001,0.35403998172667306,Evening Peak,358.3885330373832,1977.0465673813083,Level 2 - TOU Pricing
MAC004145,4736.965,1750.286,0.3694952358736026,Evening Peak,318.5492289719625,4740.961029595016,Level 2 - TOU Pricing
MAC004146,2472.2670001,789.2120001,0.31922603831547214,Daytime Active,213.6095194958009,2470.2384822158633,Level 1 - Communication
MAC004147,10970.1680001,3610.1290006,0.3290860268108101,Night Owl,1346.5591356677576,10991.037465832866,Level 1 - Communication
MAC004148,3958.9969999,1206.438,0.304733244311747,Evening Peak,594.5765404300623,3962.063730428816,Level 1 - Communication
MAC004149,1712.2239998,670.174,0.3914055638037319,Evening Peak,234.62683295975032,1708.192302450546,Level 2 - TOU Pricing
MAC004150,6133.8090028,2517.7420027,0.41046957959575936,Evening Peak,1881.3739393624999,6156.309330946875,Level 2 - TOU Pricing
MAC004151,1658.9010002,685.458,0.4132000643301559,Evening Peak,374.86284147122853,1657.5719068889582,Level 2 - TOU Pricing
MAC004152,3640.9870001,1114.282,0.3060384450615715,Evening Peak,718.0273619965678,3644.489120225585,Level 1 - Communication
MAC004153,7715.5480013,2430.9220005,0.31506796407596865,Evening Peak,749.0076157202178,7720.478595400311,Level 1 - Communication
MAC004154,3176.6350005,1231.3760004,0.3876353437540613,Evening Peak,497.80935127223097,3190.7078819391572,Level 2 - TOU Pricing
